Day of the Year,Celsius
1,2.5
2,2.5
3,2.4
4,2.4
5,2.4
6,2.4
7,2.3
8,2.3
9,2.3
10,2.3
11,2.3
12,2.2
13,2.2
14,2.2
15,2.2
16,2.2
17,2.2
18,2.1
19,2.1
20,2.1
21,2.1
22,2.1
23,2.1
24,2.1
25,2.1
26,2.1
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,1.9
41,1.9
42,1.9
43,1.9
44,1.9
45,1.9
46,1.9
47,1.9
48,1.9
49,1.9
50,1.9
51,1.9
52,1.9
53,1.9
54,1.9
55,1.8
56,1.8
57,1.8
58,1.8
59,1.8
60,1.8
61,1.8
62,1.8
63,1.8
64,1.8
65,1.7
66,1.7
67,1.7
68,1.7
69,1.7
70,1.7
71,1.7
72,1.7
73,1.7
74,1.7
75,1.7
76,1.7
77,1.7
78,1.7
79,1.7
80,1.7
81,1.7
82,1.7
83,1.8
84,1.8
85,1.8
86,1.8
87,1.8
88,1.9
89,1.9
90,2
91,2
92,2
93,2.1
94,2.2
95,2.2
96,2.3
97,2.3
98,2.4
99,2.5
100,2.6
101,2.6
102,2.7
103,2.8
104,2.9
105,3
106,3.1
107,3.2
108,3.3
109,3.4
110,3.5
111,3.7
112,3.8
113,3.9
114,4
115,4.2
116,4.3
117,4.4
118,4.6
119,4.7
120,4.9
121,5
122,5.2
123,5.3
124,5.5
125,5.6
126,5.8
127,6
128,6.1
129,6.3
130,6.5
131,6.6
132,6.8
133,7
134,7.1
135,7.3
136,7.5
137,7.6
138,7.8
139,8
140,8.2
141,8.3
142,8.5
143,8.7
144,8.8
145,9
146,9.1
147,9.3
148,9.4
149,9.6
150,9.7
151,9.9
152,10
153,10.1
154,10.3
155,10.4
156,10.5
157,10.6
158,10.7
159,10.9
160,11
161,11.1
162,11.2
163,11.3
164,11.4
165,11.5
166,11.7
167,11.8
168,11.9
169,12
170,12.1
171,12.3
172,12.4
173,12.5
174,12.7
175,12.8
176,13
177,13.1
178,13.3
179,13.5
180,13.6
181,13.8
182,14
183,14.2
184,14.4
185,14.6
186,14.8
187,15.1
188,15.3
189,15.5
190,15.8
191,16
192,16.2
193,16.5
194,16.7
195,17
196,17.2
197,17.5
198,17.7
199,18
200,18.2
201,18.5
202,18.7
203,19
204,19.2
205,19.4
206,19.6
207,19.9
208,20.1
209,20.3
210,20.5
211,20.7
212,20.8
213,21
214,21.2
215,21.3
216,21.4
217,21.6
218,21.7
219,21.8
220,21.9
221,22
222,22.1
223,22.1
224,22.2
225,22.2
226,22.3
227,22.3
228,22.3
229,22.3
230,22.3
231,22.2
232,22.2
233,22.1
234,22.1
235,22
236,21.9
237,21.8
238,21.7
239,21.5
240,21.4
241,21.2
242,21.1
243,20.9
244,20.7
245,20.5
246,20.3
247,20
248,19.8
249,19.5
250,19.3
251,19
252,18.7
253,18.4
254,18.1
255,17.8
256,17.5
257,17.2
258,16.9
259,16.5
260,16.2
261,15.9
262,15.6
263,15.3
264,14.9
265,14.6
266,14.3
267,14
268,13.7
269,13.4
270,13.1
271,12.8
272,12.5
273,12.3
274,12
275,11.7
276,11.5
277,11.3
278,11.1
279,10.8
280,10.6
281,10.4
282,10.2
283,10.1
284,9.9
285,9.7
286,9.5
287,9.4
288,9.2
289,9.1
290,8.9
291,8.8
292,8.7
293,8.5
294,8.4
295,8.3
296,8.1
297,8
298,7.9
299,7.8
300,7.6
301,7.5
302,7.4
303,7.3
304,7.1
305,7
306,6.9
307,6.7
308,6.6
309,6.5
310,6.3
311,6.2
312,6
313,5.9
314,5.8
315,5.6
316,5.5
317,5.3
318,5.2
319,5.1
320,4.9
321,4.8
322,4.6
323,4.5
324,4.4
325,4.2
326,4.1
327,4
328,3.8
329,3.7
330,3.6
331,3.5
332,3.3
333,3.2
334,3.1
335,3
336,2.9
337,2.8
338,2.7
339,2.6
340,2.5
341,2.4
342,2.4
343,2.3
344,2.2
345,2.2
346,2.1
347,2.1
348,2
349,2
350,1.9
351,1.9
352,1.9
353,1.9
354,1.9
355,1.9
356,1.9
357,1.9
358,2
359,2
360,2
361,2.1
362,2.2
363,2.2
364,2.3
365,2.4