Day of the Year,Fahrenheit
1,36.5
2,36.4
3,36.4
4,36.4
5,36.3
6,36.3
7,36.2
8,36.2
9,36.1
10,36.1
11,36.1
12,36
13,36
14,36
15,35.9
16,35.9
17,35.9
18,35.9
19,35.8
20,35.8
21,35.8
22,35.8
23,35.8
24,35.7
25,35.7
26,35.7
27,35.7
28,35.7
29,35.6
30,35.6
31,35.6
32,35.6
33,35.6
34,35.6
35,35.6
36,35.5
37,35.5
38,35.5
39,35.5
40,35.5
41,35.5
42,35.5
43,35.5
44,35.5
45,35.4
46,35.4
47,35.4
48,35.4
49,35.4
50,35.4
51,35.4
52,35.4
53,35.3
54,35.3
55,35.3
56,35.3
57,35.3
58,35.3
59,35.3
60,35.2
61,35.2
62,35.2
63,35.2
64,35.2
65,35.1
66,35.1
67,35.1
68,35.1
69,35.1
70,35.1
71,35.1
72,35.1
73,35
74,35
75,35
76,35
77,35
78,35.1
79,35.1
80,35.1
81,35.1
82,35.1
83,35.2
84,35.2
85,35.2
86,35.3
87,35.3
88,35.4
89,35.5
90,35.5
91,35.6
92,35.7
93,35.8
94,35.9
95,36
96,36.1
97,36.2
98,36.3
99,36.5
100,36.6
101,36.8
102,36.9
103,37.1
104,37.2
105,37.4
106,37.6
107,37.8
108,38
109,38.2
110,38.4
111,38.6
112,38.8
113,39
114,39.2
115,39.5
116,39.7
117,40
118,40.2
119,40.5
120,40.7
121,41
122,41.3
123,41.6
124,41.8
125,42.1
126,42.4
127,42.7
128,43
129,43.3
130,43.6
131,43.9
132,44.2
133,44.5
134,44.8
135,45.2
136,45.5
137,45.8
138,46.1
139,46.4
140,46.7
141,47
142,47.3
143,47.6
144,47.9
145,48.1
146,48.4
147,48.7
148,49
149,49.2
150,49.5
151,49.8
152,50
153,50.2
154,50.5
155,50.7
156,50.9
157,51.1
158,51.3
159,51.6
160,51.8
161,52
162,52.2
163,52.4
164,52.6
165,52.8
166,53
167,53.2
168,53.4
169,53.6
170,53.9
171,54.1
172,54.3
173,54.6
174,54.8
175,55.1
176,55.3
177,55.6
178,55.9
179,56.2
180,56.5
181,56.9
182,57.2
183,57.6
184,57.9
185,58.3
186,58.7
187,59.1
188,59.5
189,59.9
190,60.4
191,60.8
192,61.2
193,61.7
194,62.1
195,62.6
196,63
197,63.5
198,63.9
199,64.4
200,64.8
201,65.3
202,65.7
203,66.1
204,66.5
205,66.9
206,67.3
207,67.7
208,68.1
209,68.5
210,68.8
211,69.2
212,69.5
213,69.8
214,70.1
215,70.4
216,70.6
217,70.8
218,71.1
219,71.2
220,71.4
221,71.6
222,71.7
223,71.8
224,71.9
225,72
226,72.1
227,72.1
228,72.1
229,72.1
230,72.1
231,72
232,71.9
233,71.8
234,71.7
235,71.6
236,71.4
237,71.2
238,71
239,70.8
240,70.5
241,70.2
242,69.9
243,69.6
244,69.3
245,68.9
246,68.5
247,68.1
248,67.6
249,67.1
250,66.7
251,66.2
252,65.7
253,65.1
254,64.6
255,64
256,63.5
257,62.9
258,62.4
259,61.8
260,61.2
261,60.6
262,60
263,59.5
264,58.9
265,58.3
266,57.8
267,57.2
268,56.6
269,56.1
270,55.6
271,55.1
272,54.6
273,54.1
274,53.6
275,53.1
276,52.7
277,52.3
278,51.9
279,51.5
280,51.1
281,50.8
282,50.4
283,50.1
284,49.8
285,49.5
286,49.2
287,48.9
288,48.6
289,48.4
290,48.1
291,47.8
292,47.6
293,47.3
294,47.1
295,46.9
296,46.6
297,46.4
298,46.2
299,46
300,45.7
301,45.5
302,45.3
303,45.1
304,44.8
305,44.6
306,44.4
307,44.1
308,43.9
309,43.6
310,43.4
311,43.1
312,42.9
313,42.6
314,42.4
315,42.1
316,41.9
317,41.6
318,41.3
319,41.1
320,40.8
321,40.6
322,40.3
323,40.1
324,39.8
325,39.6
326,39.4
327,39.1
328,38.9
329,38.7
330,38.4
331,38.2
332,38
333,37.8
334,37.6
335,37.4
336,37.2
337,37
338,36.9
339,36.7
340,36.5
341,36.4
342,36.2
343,36.1
344,36
345,35.9
346,35.8
347,35.7
348,35.6
349,35.5
350,35.5
351,35.4
352,35.4
353,35.4
354,35.4
355,35.4
356,35.4
357,35.5
358,35.5
359,35.6
360,35.7
361,35.8
362,35.9
363,36
364,36.2
365,36.3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,